"Blog","Blog"
"Posts","Berichten"
"Categories","Categorieën"
"Comments","Comments"
"Post Manager","Bericht Manager"
"Add Post","Voeg Bericht"
"ID","ID"
"Title","Titel"
"URL Key","URL Key"
"Created At","Gemaakt op"
"Updated At","Bijgewerkt Op"
"Status","Toestand"
"Draft","Ontwerp"
"Active","Actief"
"Inactive","Inactief"
"Category Manager","Category Manager"
"Add Category","Categorie toevoegen"
"Category Name","Categorie Naam"
"Comment Manager","Reactie Manager"
"Add Comment","Reactie toevoegen"
"Comment Id","Reactie Id"
"Post Title","Bericht Titel"
"Name","Naam"
"Comment","Commentaar"
"Pending Approval","In afwachting van goedkeuring"
"Delete","Verwijderen"
"Are you sure?","Weet je het zeker?"
"Change Status","Wijzig Status"
"Save Post","Opslaan Bericht"
"Delete Post","Verwijder Bericht"
"Save And Continue Edit","Opslaan en doorgaan bewerken"
"Post","Post"
"Post Configuration","Bericht Configuratie"
"This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post","Dit wordt toegevoegd aan het einde van de URL <br/> bijvoorbeeld. als ""mijn-post"" is ingevoerd kon worden gevonden op http://www.youstore.com.au/mijn-post"
"Publishing Configuration","Publishing Configuration"
"Author Data","Auteur Gegevens"
"Author","Auteur"
"Show Post Date","Toon Bericht Datum"
"Publishing Data","Publiceren gegevens"
"Publish Date","Publicatie Datum"
"Metadata","Metadata"
"Meta Data","Meta data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Edit Post '%s'","Wijzig bericht '%s'"
"Save Category","Opslaan Categorie"
"Delete Category","Categorie verwijderen"
"Item Information","Artikel informatie"
"Summary","Overzicht"
"Category","Categorie"
"Edit Category '%s'","Categorie bewerken '%s'"
"News","Nieuws"
"Home","Huis"
"Go to Home Page","Ga naar de Home Page"
"Go to News","Ga naar nieuws"
"There are no posts in this category","Er zijn geen berichten in deze categorie"
"test","test"
"Go to test","Ga naar testen"
"Item was successfully saved","Het punt werd succesvol opgeslagen"
"Lorum Ipsum","Lorum Ipsum"
"Go to Lorum Ipsum","Ga naar Lorum Ipsum"
"Post was successfully saved","Bericht is succesvol opgeslagen"
"Understanding Magento Config Xml","Inzicht Magento Config Xml"
"Go to Understanding Magento Config Xml","Ga naar Understanding Magento Config Xml"
"Neotheme","Neotheme"
"General","Algemeen"
"Show draft posts on the frontend on the Following IP Addresses","Toon ontwerp berichten op de frontend op de volgende IP adressen"
"Automaticly add author's Ip to safe list (above) on post save?","Automatisch Ip auteur toevoegen aan veilige lijst (hierboven) op de post opslaan?"
"Frontend Url Key","Frontend Url Key"
"the prefix for url identifiers","het voorvoegsel voor url identifiers"
"Time Format to use through Blog","Time Format te gebruiken door middel van Blog"
"Full","Vol"
"Long","Lang"
"Medium","Medium"
"Short","Kort"
"Custom","Gewoonte"
"Customer Group Filtering","Customer Group Filtering"
"Custom Date/Time Format","Custom Date / Time Format"
"Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format","Zie <a target = ""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">ISO-formaat</ a> voor datumnotatie"
"Customer Preferences","Klant Voorkeuren"
"Enable customer blog preferences","Enable klant blog voorkeuren"
"Hide categories without posts?","Categorieën verbergen zonder berichten?"
"Number of comments to show","Aantal reacties te tonen"
"Comment template","Reactie template"
"Customer Only - No Approval","Alleen de klant - Geen Goedkeuring"
"Facebook Comments","Facebook Comments"
"Facebook Widget Width (px)","Facebook Widget Breedte (px)"
