"Blog","Blog"
"Posts","Messages"
"Categories","Catégories"
"Comments","Commentaires"
"Post Manager","Le directeur du poste"
"Add Post","Ajouter un enregistrement"
"ID","ID"
"Title","Titre"
"URL Key","Clé d'URL"
"Created At","Créé à"
"Updated At","Mis à jour à"
"Status","Statut"
"Draft","Projet"
"Active","Actif"
"Inactive","Inactive"
"Category Manager","Category Manager"
"Add Category","Ajouter une catégorie"
"Category Name","Nom de la catégorie"
"Comment Manager","Commenter directeur"
"Add Comment","Ajouter un commentaire"
"Comment Id","Commenter Id"
"Post Title","Mission Titre"
"Name","Nom"
"Comment","Commenter"
"Pending Approval","En attendant l'approbation"
"Delete","Supprimer"
"Are you sure?","Etes-vous sûr?"
"Change Status","Modifier le statut"
"Save Post","Enregistrer Poster"
"Delete Post","Supprimer le message"
"Save And Continue Edit","Enregistrer et continuer Modifier"
"Post","Poster"
"Post Configuration","Configuration Post"
"This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post","Ce sera ajouté à la fin de l'url <br/> par exemple. si ""mon_post"" a été entré, il se trouve à http://www.youstore.com.au/mon_post"
"Publishing Configuration","Configuration de l'édition"
"Author Data","Auteur données"
"Author","Auteur"
"Show Post Date","Montrer les messages date"
"Publishing Data","Publication de données"
"Publish Date","Date de publication"
"Metadata","Métadonnées"
"Meta Data","Métadonnées"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Edit Post '%s'","Modifier le message '%s'"
"Save Category","Enregistrer Catégorie"
"Delete Category","Supprimer une catégorie"
"Item Information","L'information d'article"
"Summary","Résumé"
"Category","Catégorie"
"Edit Category '%s'","Modifier la catégorie '%s'"
"News","Nouvelles"
"Home","Maison"
"Go to Home Page","Aller à la page d'accueil"
"Go to News","Aller à Nouvelles"
"There are no posts in this category","Il n'y a pas de messages dans cette catégorie"
"test","essai"
"Go to test","Aller à tester"
"Item was successfully saved","L'article a été sauvegardé avec succès"
"Lorum Ipsum","Lorum Ipsum"
"Go to Lorum Ipsum","Aller à Lorum Ipsum"
"Post was successfully saved","Post a été sauvegardé avec succès"
"Understanding Magento Config Xml","Comprendre Magento configuration XML"
"Go to Understanding Magento Config Xml","Aller à la compréhension Magento configuration XML"
"Neotheme","Neotheme"
"General","Général"
"Show draft posts on the frontend on the Following IP Addresses","Afficher projets messages sur le frontend sur les adresses IP suivantes"
"Automaticly add author's Ip to safe list (above) on post save?","Ajouter Automaticly l'adresse IP de l'auteur à la liste sûr (ci-dessus) lors de l'enregistrement de poste?"
"Frontend Url Key","Frontend Url clé"
"the prefix for url identifiers","le préfixe pour les identificateurs d'url"
"Time Format to use through Blog","Format de l'heure à utiliser grâce à Blog"
"Full","Plein"
"Long","Longue"
"Medium","Medium"
"Short","Court"
"Custom","Coutume"
"Customer Group Filtering","Groupe de clients filtrage"
"Custom Date/Time Format","Date / Heure personnalisée Format"
"Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format","S'il vous plaît voir <a target = ""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">ISO Format </ a> pour le format de date"
"Customer Preferences","Les préférences des clients"
"Enable customer blog preferences","Activer préférences de blog de clients"
"Hide categories without posts?","Cacher les catégories sans messages?"
"Number of comments to show","Nombre de commentaires pour montrer"
"Comment template","Commenter modèle"
"Customer Only - No Approval","Client uniquement - Pas d'approbation"
"Facebook Comments","Facebook Comments"
"Facebook Widget Width (px)","Facebook Widget Largeur (px)"
